pano_id,lat,lng,heading,num_links,tour_url
47019890,43.451252777778,-3.8585972222222,137.6,2,https://tourmkr.com/F17VY1PAdF
47019889,43.451211111111,-3.8586583333333,308.9,3,https://tourmkr.com/F17VY1PAdF
47019888,43.451280555556,-3.8587,278.3,2,https://tourmkr.com/F17VY1PAdF
47019887,43.451147222222,-3.8587805555556,330.9,3,https://tourmkr.com/F17VY1PAdF
47019883,43.451111111111,-3.8589833333333,150.9,2,https://tourmkr.com/F17VY1PAdF
47019885,43.451136111111,-3.8592194444444,341.1,2,https://tourmkr.com/F17VY1PAdF
47019886,43.451125,-3.8594666666667,334.2,2,https://tourmkr.com/F17VY1PAdF
47019884,43.451113888889,-3.85955,299.7,4,https://tourmkr.com/F17VY1PAdF
47019881,43.450861111111,-3.8595,58.5,1,https://tourmkr.com/F17VY1PAdF
47019882,43.451013888889,-3.8595611111111,359.6,3,https://tourmkr.com/F17VY1PAdF
47019880,43.451172222222,-3.8596194444444,37.6,3,https://tourmkr.com/F17VY1PAdF
47019879,43.451308333333,-3.8597611111111,58.6,2,https://tourmkr.com/F17VY1PAdF
47019877,43.451440003485,-3.8598132995456,61.6,2,https://tourmkr.com/F17VY1PAdF
47019878,43.451563888889,-3.8598527777778,326.9,3,https://tourmkr.com/F17VY1PAdF
47019876,43.451652520875,-3.8596197621954,140.3,2,https://tourmkr.com/F17VY1PAdF
47019875,43.451708333333,-3.85945,136.6,2,https://tourmkr.com/F17VY1PAdF
47019874,43.451775,-3.8592777777778,135.8,2,https://tourmkr.com/F17VY1PAdF
47019872,43.452005555556,-3.8586388888889,318.1,1,https://tourmkr.com/F17VY1PAdF
47019871,43.451940497461,-3.8588180788334,138.1,2,https://tourmkr.com/F17VY1PAdF
47019873,43.451858333333,-3.8590694444444,140.4,2,https://tourmkr.com/F17VY1PAdF
47019870,43.451605555556,-3.8597527777778,138.7,2,https://tourmkr.com/F17VY1PAdF
47019847,43.451386111111,-3.8604194444444,132.8,1,https://tourmkr.com/F17VY1PAdF
47019845,43.451488888889,-3.8601916666667,148.1,2,https://tourmkr.com/F17VY1PAdF
47019846,43.451536111111,-3.8599722222222,328.1,2,https://tourmkr.com/F17VY1PAdF
47019844,43.451033333333,-3.8596611111111,321.4,4,https://tourmkr.com/F17VY1PAdF
47019864,43.450994444444,-3.8597861111111,305.6,2,https://tourmkr.com/F17VY1PAdF
47019843,43.450911111111,-3.8599277777778,281.4,2,https://tourmkr.com/F17VY1PAdF
47019842,43.450793912125,-3.8600090125804,285.6,2,https://tourmkr.com/F17VY1PAdF
47019841,43.45066407222,-3.8601162369094,292.5,2,https://tourmkr.com/F17VY1PAdF
47019840,43.450583333333,-3.8602027777778,308.3,2,https://tourmkr.com/F17VY1PAdF
47019838,43.450494444444,-3.8603694444444,323.0,2,https://tourmkr.com/F17VY1PAdF
47019839,43.450436111111,-3.8605722222222,143.0,2,https://tourmkr.com/F17VY1PAdF
47019837,43.450352777778,-3.8607361111111,331.3,2,https://tourmkr.com/F17VY1PAdF
47019835,43.450322222222,-3.8609138888889,31.4,3,https://tourmkr.com/F17VY1PAdF
47019848,43.450397222222,-3.8610111111111,45.7,4,https://tourmkr.com/F17VY1PAdF
47019836,43.450339553313,-3.8611612667873,136.8,1,https://tourmkr.com/F17VY1PAdF
47019780,43.450436111111,-3.8609,137.5,2,https://tourmkr.com/F17VY1PAdF
47019782,43.450488888889,-3.8607583333333,317.5,1,https://tourmkr.com/F17VY1PAdF
47019779,43.451127777778,-3.8615277777778,227.1,1,https://tourmkr.com/F17VY1PAdF
47019778,43.450980555556,-3.8614222222222,226.9,2,https://tourmkr.com/F17VY1PAdF
47019777,43.450838888889,-3.8613194444444,228.0,2,https://tourmkr.com/F17VY1PAdF
47019860,43.450686111111,-3.8612138888889,229.0,2,https://tourmkr.com/F17VY1PAdF
47019859,43.450513888889,-3.8611,49.0,2,https://tourmkr.com/F17VY1PAdF
47019783,43.450229995914,-3.8611658549461,321.8,2,https://tourmkr.com/F17VY1PAdF
47019858,43.450158333333,-3.8614,318.4,2,https://tourmkr.com/F17VY1PAdF
47019857,43.45009428849,-3.861579253106,315.9,3,https://tourmkr.com/F17VY1PAdF
47019856,43.450162685437,-3.8616284222204,227.1,3,https://tourmkr.com/F17VY1PAdF
47019784,43.450227777778,-3.8614583333333,316.8,1,https://tourmkr.com/F17VY1PAdF
47019855,43.450227777778,-3.8616833333333,47.4,2,https://tourmkr.com/F17VY1PAdF
47019785,43.45034500711,-3.8617665703525,227.4,2,https://tourmkr.com/F17VY1PAdF
47019854,43.450476215206,-3.8618506081559,46.7,2,https://tourmkr.com/F17VY1PAdF
47019834,43.450626371339,-3.861960237638,47.9,2,https://tourmkr.com/F17VY1PAdF
47019781,43.450745792865,-3.862043104061,45.9,2,https://tourmkr.com/F17VY1PAdF
47019853,43.450845169878,-3.8621181134037,225.9,1,https://tourmkr.com/F17VY1PAdF
47019852,43.450038871828,-3.861718480968,311.4,3,https://tourmkr.com/F17VY1PAdF
47019861,43.450130555556,-3.8617972222222,44.2,2,https://tourmkr.com/F17VY1PAdF
47019863,43.450281551468,-3.8619193474664,41.9,2,https://tourmkr.com/F17VY1PAdF
47019851,43.450425198326,-3.8620466031059,46.6,2,https://tourmkr.com/F17VY1PAdF
47019862,43.450580166262,-3.8621602229533,46.8,2,https://tourmkr.com/F17VY1PAdF
47019849,43.450737588504,-3.8622749330193,34.7,2,https://tourmkr.com/F17VY1PAdF
47019850,43.450827231001,-3.8623782039289,214.7,1,https://tourmkr.com/F17VY1PAdF
47019868,43.449947850945,-3.8619100684545,314.1,2,https://tourmkr.com/F17VY1PAdF
47019903,43.449848125665,-3.862143325295,309.0,2,https://tourmkr.com/F17VY1PAdF
47019869,43.449734554023,-3.8623617593065,307.0,2,https://tourmkr.com/F17VY1PAdF
47019867,43.449653309738,-3.8625070944222,127.0,1,https://tourmkr.com/F17VY1PAdF
47020033,43.444177777778,-3.8340638888889,292.6,3,https://tourmkr.com/F17VY1PAdF
